,confidence,happy,angry,bored,fear,sad,excited,spam,news,feedback,marketing,Class
73,86,0.171944939,0.15452270699999998,0.140387392,0.188480213,0.132120772,0.212543977,0.07400000000000001,0.251,0.17300000000000001,0.40700000000000003,0
74,86,0.300053132,0.071972855,0.0,0.134625189,0.38081463299999996,0.11253419199999999,0.059000000000000004,0.764,0.092,0.053,0
75,86,0.286993758,0.103443961,0.030544605,0.213779766,0.10540231800000001,0.25983559100000003,0.099,0.36700000000000005,0.14,0.371,0
76,84,0.138249656,0.162931786,0.082803015,0.275015202,0.18422363100000003,0.15677671099999999,0.07400000000000001,0.335,0.324,0.136,0
77,86,0.19805601899999997,0.119960544,0.056217202,0.251667652,0.109644249,0.26445433399999996,0.043,0.818,0.071,0.051,0
78,94,0.138452482,0.22323273,0.045749312,0.206236892,0.13193284800000002,0.25439573600000004,0.033,0.8440000000000001,0.067,0.039,1
79,86,0.06873380400000001,0.229223808,0.040573702,0.259141952,0.328529109,0.073797625,0.08,0.08900000000000001,0.512,0.021,0
80,86,0.056203402,0.440647309,0.103900462,0.151233707,0.16942767600000003,0.078587444,0.08,0.44299999999999995,0.325,0.043,1
81,100,0.40436350000000004,0.032189018,0.009256293,0.09082183,0.036200027999999995,0.42716933100000004,0.192,0.231,0.102,0.452,1
82,86,0.033877215,0.16804111,0.167159908,0.246724483,0.288990097,0.095207187,0.052000000000000005,0.662,0.233,0.015,0
83,76,0.243183163,0.115529565,0.01875192,0.170384937,0.065327143,0.38682327200000005,0.053,0.653,0.078,0.2,0
84,86,0.145768239,0.23473941399999998,0.028984022999999998,0.22369793899999998,0.208783947,0.15802643800000002,0.17300000000000001,0.306,0.27399999999999997,0.084,0
85,86,0.036950633999999996,0.44894444200000005,0.10812482300000001,0.12347190300000001,0.19923694600000003,0.083271252,0.033,0.66,0.163,0.061,1
86,89,0.18833065699999998,0.114146329,0.056457192,0.24383375,0.12271748699999999,0.274514586,0.048,0.759,0.096,0.06,0
87,76,0.121079401,0.279315687,0.029700696000000002,0.168519342,0.153288741,0.248096132,0.042,0.659,0.225,0.03,0
88,86,0.057221035,0.34125493700000004,0.106975575,0.19443040600000003,0.19963187699999999,0.10048617,0.028999999999999998,0.831,0.08900000000000001,0.01,0
89,76,0.26603506899999996,0.168655915,0.039207663999999996,0.150372585,0.082177743,0.293551025,0.071,0.508,0.11800000000000001,0.285,0
90,86,0.072555093,0.43412504399999996,0.058368948,0.141016805,0.192259708,0.10167440300000001,0.102,0.42,0.16699999999999998,0.172,1
91,74,0.062510462,0.393073781,0.028452772999999997,0.19550747300000001,0.170158864,0.150296647,0.16,0.61,0.19699999999999998,0.023,0
92,76,0.115703946,0.255477478,0.05259191,0.21243242899999998,0.130418966,0.23337527,0.064,0.708,0.156,0.062,0
93,86,0.055805425,0.13420254,0.043013086,0.203690667,0.484389533,0.078898748,0.091,0.684,0.193,0.012,0
94,86,0.34114922200000003,0.190899016,0.018566632,0.09786788099999999,0.042540055,0.308977194,0.047,0.726,0.102,0.115,0
95,94,0.165068466,0.239818395,0.040743119,0.18225904899999998,0.131180817,0.24093015399999998,0.048,0.764,0.114,0.047,1
96,86,0.050493553,0.36229437299999995,0.077488806,0.19444606,0.236124948,0.07915226,0.047,0.634,0.209,0.012,0
97,100,0.192602253,0.123585316,0.106033098,0.16433583599999999,0.08804729800000001,0.3253962,0.159,0.535,0.11599999999999999,0.16,1
98,86,0.08966365400000001,0.155180368,0.11184275,0.245002702,0.235064995,0.163245531,0.08,0.769,0.105,0.035,0
99,86,0.154835387,0.141430886,0.115940927,0.191524238,0.127625163,0.268643399,0.17800000000000002,0.555,0.17300000000000001,0.079,0
100,86,0.043540125,0.535154049,0.026859354,0.126273984,0.158604294,0.10956819400000001,0.009000000000000001,0.841,0.071,0.013999999999999999,1
101,86,0.174070195,0.208456823,0.027765502,0.227458465,0.08763545,0.27461356600000003,0.051,0.747,0.055999999999999994,0.131,0
102,86,0.09046561800000001,0.301065165,0.088480065,0.1938397,0.166812129,0.159337324,0.018000000000000002,0.905,0.05,0.02,0
103,86,0.116889854,0.26798248,0.034806488,0.17327120399999998,0.24593872600000002,0.161111248,0.013000000000000001,0.868,0.052000000000000005,0.044000000000000004,0
104,86,0.17526625199999998,0.21860138199999998,0.0704924,0.154247646,0.10199159199999999,0.27940072899999996,0.077,0.5589999999999999,0.12,0.22,0
105,86,0.117375113,0.28652904100000004,0.033784264,0.174359209,0.150008958,0.237943417,0.006999999999999999,0.92,0.019,0.036000000000000004,0
106,86,0.06422887099999999,0.43040016700000006,0.037055751,0.142813962,0.23581855899999998,0.089682691,0.092,0.179,0.527,0.013000000000000001,1
107,86,0.17477003,0.167407525,0.05929119099999999,0.208856498,0.174821965,0.21485279100000002,0.11900000000000001,0.598,0.098,0.15,0
108,76,0.159222044,0.181413657,0.10770122800000001,0.24097255,0.198956165,0.11173435599999999,0.08199999999999999,0.265,0.21899999999999997,0.098,0
109,83,0.373312498,0.157793448,0.015934739,0.070453629,0.046195705999999996,0.33630998100000004,0.12,0.48,0.32,0.046,0
