@relation Training-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute query numeric
@attribute urls numeric
@attribute affect numeric
@attribute commas numeric
@attribute dashes numeric
@attribute differentiation numeric
@attribute exclamations numeric
@attribute hear numeric
@attribute i numeric
@attribute other_punctuation numeric
@attribute periods numeric
@attribute personal_concerns numeric
@attribute power numeric
@attribute relativity numeric
@attribute semicolons numeric
@attribute social numeric
@attribute ambifeel_score numeric
@attribute Class {0,1}

@data
151,0.012,0.000586,0.044549,0.047479,0.011723,0.019343,0,0.002931,0.009379,0.005275,0.042204,0.075615,0.044549,0.109027,0.006448,0.077374,0.043354,1
152,0.019,0,0,0.125,0,0,0,0,0,0,0.125,0,0,0.3125,0,0,0,1
153,0.01,0,0.024138,0.053448,0,0.02931,0,0.006897,0.010345,0.006897,0.05,0.105172,0.065517,0.131034,0,0.101724,0.014904,0
154,0.018,0,0.044582,0.041838,0.006859,0.01989,0,0.002743,0.000686,0.003429,0.046639,0.049383,0.048011,0.112483,0,0.068587,0.01739,1
155,0.04,0,0.029586,0.035503,0.005917,0.005917,0,0.011834,0,0.002959,0.065089,0.06213,0.029586,0.207101,0,0.04142,0.007619,1
156,0.032,0,0.043391,0.056509,0,0.052472,0.004036,0.003027,0.101917,0.004036,0.062563,0.035318,0.021191,0.130172,0,0.06559,0.045472,0
157,0.007,0,0.04376,0.055105,0.014587,0.008104,0.001621,0.016207,0.006483,0.014587,0.048622,0.06483,0.029173,0.181524,0,0.098865,0.0066,1
158,0.142,0,0.060606,0.060606,0,0.030303,0,0.010695,0.023173,0,0.069519,0.01426,0.024955,0.172906,0,0.083779,0.035655,0
159,0.003,0,0.04947,0.056537,0,0.017668,0.003534,0.028269,0.028269,0.014134,0.053004,0.070671,0.021201,0.151943,0,0.113074,0.038669,0
160,0.015,0,0.057143,0.04898,0,0.028571,0,0.008163,0.028571,0.008163,0.065306,0.044898,0.02449,0.126531,0,0.077551,0.012262,1
161,0.103,0,0.039939,0.041475,0,0.019969,0,0.019969,0,0.004608,0.041475,0.044547,0.049155,0.119816,0,0.061444,0.013931,0
162,0.015,0,0.021935,0.065806,0,0.019355,0,0.014194,0,0.003871,0.063226,0.082581,0.063226,0.165161,0,0.131613,0.022099,0
163,0.078,0,0.09375,0.03125,0.03125,0,0,0,0,0,0.03125,0.03125,0.0625,0.125,0,0.125,0,1
164,0.047,0,0.017674,0.076279,0,0.014884,0,0.017674,0.004651,0.009302,0.08093,0.088372,0.060465,0.193488,0,0.143256,0.006772,0
165,0.002,0,0.055276,0.085427,0,0.017588,0.012563,0.007538,0.002513,0.067839,0.047739,0.110553,0.042714,0.113065,0,0.047739,0.025169,0
166,0.015,0,0.034305,0.080617,0,0.025157,0,0.022298,0.012579,0.004002,0.058319,0.061178,0.049171,0.131504,0,0.18239,0.020485,0
167,0.002,0,0.093588,0.091854,0.036395,0.010399,0,0.001733,0,0.008666,0.058925,0.135182,0.076256,0.121317,0,0.095321,0.05525,1
168,0.072,0,0.033298,0.038668,0.01826,0.01826,0.001074,0.005371,0,0.010741,0.034372,0.04189,0.027927,0.122449,0,0.056928,0.029007,1
169,0.015,0,0.025237,0.050473,0.007886,0.012618,0,0.014196,0,0.018927,0.053628,0.059937,0.072555,0.198738,0,0.042587,0.022227,1
170,0.099,0,0.026738,0.037433,0.010695,0,0.005348,0.005348,0.005348,0.02139,0.016043,0.112299,0.010695,0.192513,0,0.101604,0,1
171,0.165,0,0.071839,0.028736,0.002874,0.051724,0,0.002874,0,0.002874,0.086207,0.022989,0.048851,0.132184,0,0.071839,0,1
